,JobDescription,JobDetails_CompanyIndustry,JobDetails_CompanyType,JobDetails_EmploymentType,JobDetails_JobLocation,JobDetails_JobRole,JobDetails_MonthlySalaryRange,JobDetails_NumberofVacancies,PreferredCandidate_CareerLevel,PreferredCandidate_ResidenceLocation,Skills,meta_Company,meta_Date,meta_Location,meta_Title,meta_link
135,"Performs paint repairs as per customer’s request through proper execution and Chief Technician’s close supervision within the promised delivery time and estimated cost to meet the customer satisfaction.\nConducts preliminary inspection/ evaluation of the vehicle using tools and equipment with the supervision of the service Chief Technician to assess the exact damage and extent of repair.\nParticipate in the resolution of high-technical problems with the assistance of the Team Leaders (Workshop Floor Manager/Chief Technician) through test and examination to ensure that the appropriate body and paint repair is done.\nExecutes the center after sales responsibilities (i.e. vehicle paint repairs) to ensure that all activities are carried out as per the company’s policies and procedures through effective communication and supervision of the Team Leader.\nEnsures highly satisfied Guest by executing a Guest Centric mindset to achieve high quality after sales – body and paint activities through an effective monitoring of the Team Leader in the Center in accordance to service standards.\nCoordinate with the Job Controller in feeding correct data (operation number), recording of the repairs carried out and updating the status of vehicle delivery through the use of the Computerized Time Control Sheets in determining the productivity (man-hour) analyses.\nReceives and understand technical information, service bulletins and daily functional activities from the Team Leader through regular meetings and updates in order to enhance technical skills and achieve smooth after sales business operations.\nDeliver service achievements by supporting and assisting center after sales marketing campaigns, promoting center Kaizen activities as well as adjustment to business strategies to achieve set center targets.\nPerforms the suitable use of all the service facilities, tools and equipment to ensure that the Service Center are operating in accordance to the policies related to safety, welfare, integrity and branding image of the company.\nExecutes assigned activities according to the company’s standard operating procedures through coordination with the center service teams in achieving pre-determined center operational targets.\nيقوم بإصلاحات الطلاء حسب طلب العميل من خلال التنفيذ السليم والإشراف الدقيق من قبل كبير الفنيين خلال وقت التسليم الموعود والتكلفة المقدرة لتلبية رضا العملاء.\nإجراء فحص / تقييم أولي للسيارة باستخدام الأدوات والمعدات بإشراف كبير فنيي الخدمة لتقييم الضرر الدقيق ومدى الإصلاح.\nالمشاركة في حل المشكلات التقنية العالية بمساعدة قادة الفريق (مدير طابق ورشة العمل / كبير الفنيين) من خلال الاختبار والفحص للتأكد من إجراء إصلاحات الجسم والطلاء المناسبة.\nينفذ المركز مسؤوليات ما بعد البيع (أي إصلاحات طلاء السيارة) لضمان تنفيذ جميع الأنشطة وفقًا لسياسات الشركة وإجراءاتها من خلال التواصل الفعال والإشراف على قائد الفريق.\nيضمن رضا الضيف للغاية من خلال تنفيذ عقلية تتمحور حول الضيف لتحقيق جودة عالية بعد البيع - أنشطة الجسم والطلاء من خلال المراقبة الفعالة لقائد الفريق في المركز وفقًا لمعايير الخدمة.\nالتنسيق مع مراقب الوظيفة في تغذية البيانات الصحيحة (رقم العملية) ، وتسجيل الإصلاحات التي تم إجراؤها وتحديث حالة تسليم السيارة من خلال استخدام جداول التحكم في الوقت المحوسبة في تحديد تحليلات الإنتاجية (ساعة العمل).\nتلقي وفهم المعلومات الفنية ونشرات الخدمة والأنشطة الوظيفية اليومية من 'قائد الفريق' من خلال الاجتماعات والتحديثات المنتظمة من أجل تعزيز المهارات الفنية وتحقيق عمليات تجارية سلسة بعد البيع.\nتقديم إنجازات الخدمة من خلال دعم ومساعدة حملات التسويق لما بعد البيع للمركز ، والترويج لأنشطة مركز كايزن وكذلك التكيف مع استراتيجيات العمل لتحقيق أهداف المركز المحددة.\nيؤدي الاستخدام المناسب لجميع مرافق الخدمة والأدوات والمعدات لضمان عمل مركز الخدمة وفقًا للسياسات المتعلقة بالسلامة والرفاهية والنزاهة وصورة العلامة التجارية للشركة.\nينفذ الأنشطة المعينة وفقًا لإجراءات التشغيل القياسية للشركة من خلال التنسيق مع فرق خدمة المركز في تحقيق الأهداف التشغيلية للمركز المحددة مسبقًا.","Automotive Repair, Spare Parts, & Support Services",Employer (Private Sector),Full Time Employee,"Mecca, Saudi Arabia",Support Services,Unspecified,2,Entry Level,"Mecca, Saudi Arabia","Knowledge in Automotive and mechanical repairs and maintenance services preferably with certification from our company and its subsidiaries. Adept in troubleshooting and diagnostic test for cars.\nLimited knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nManaging one's own time and the time of others.\nUnderstanding the implications of new information for both current and future problem-solving and decision-making.\nJob requires accepting criticism and dealing calmly and effectively with high stress situations.\nJob requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.\nThe ability to tell when something is wrong or is likely to go wrong. It does not involve solving the problem, only recognizing there is a problem.\nThe ability to combine pieces of information to form general rules or conclusions (includes finding a relationship among seemingly unrelated events).\nThe ability to deal and work with people and compromise diversity in views and opinions.\nيفضل أن تكون المعرفة في خدمات إصلاح وصيانة السيارات والميكانيكية مع شهادة من شركتنا والشركات التابعة لها.\nالبراعة في اختبار استكشاف الأخطاء وإصلاحها وتشخيص السيارات.\nمعرفة محدودة بهيكل ومحتوى اللغة الإنجليزية بما في ذلك معنى الكلمات وتهجئتها وقواعد التكوين والقواعد.\nإدارة وقت المرء ووقت الآخرين.\nفهم الآثار المترتبة على المعلومات الجديدة لكل من حل المشكلات الحالية والمستقبلية واتخاذ القرار.\nتتطلب الوظيفة قبول النقد والتعامل بهدوء وفعالية مع المواقف الشديدة التوتر.\nتتطلب الوظيفة إنشاء أهداف الإنجاز الصعبة الشخصية والحفاظ عليها وبذل الجهد نحو إتقان المهام.\nالقدرة على معرفة ما إذا كان هناك خطأ ما أو من المحتمل أن يحدث خطأ. لا يتضمن حل المشكلة ، فقط الاعتراف بوجود مشكلة.\nالقدرة على دمج أجزاء من المعلومات لتشكيل قواعد عامة أو استنتاجات (بما في ذلك إيجاد علاقة بين الأحداث التي تبدو غير ذات صلة).\nالقدرة على التعامل والعمل مع الناس والمساومة على التنوع في الآراء والآراء.","Vehicle Solutions, Accessories & Personalization",Date Posted: Sep 06,"Mecca, Saudi Arabia",Auto Painter – Makkah – دهان مركبات – مكة,/en/saudi-arabia/jobs/auto-painter-makkah-%D8%AF%D9%87%D8%A7%D9%86-%D9%85%D8%B1%D9%83%D8%A8%D8%A7%D8%AA-%D9%85%D9%83%D8%A9-4416885/
136,ملخص الوظيفة\nخدمة العملاء المعينين في منطقة محددة.\nتحقيق الإنتاجية والاهداف.\nتسويق وبيع منتجات الشركة الى العملاء ثم تحصيل المقابل النقدي.\nالمهام والمسؤوليات الوظيفية\nالحفاظ على اتصال منتظم وبناء علاقة مع العملاء.\nتطوير أعمال جديدة من خلال قائمة العملاء المحتملين.\nالرد على إستفسارات وشكاوى العملاء.\nالمساعدة في تحديد أهداف المبيعات حسب المنتج والعميل.\nتقديم المشورة للعملاء بشأن الإعلان عن أسعار المنتجات والعروض.\nالتفاوض على مساحة الرفوف / والمكان المناسب لتسكين منصات (ستاندات) ترويج منتجات الشركة .\nتصفيف البضائع حسب الشكل المعتمد من الشركة.\nالاحتفاظ بسجلات دقيقة للنقد وأوامر المخزون والتسليم.\nتخطيط وتنفيذ دورة المبيعات اليومية وفقًا لـخط السير.\nتطبيق تقنيات البيع المهنية لتحقيق النتيجة.\nرعاية المركبات وأجهزة البيع الموردة للقيام بالمهمة.\nالمشاركة في التنمية الشخصية مع مدرب الفريق أو المشرف.\nتمثيل الشركة بأفضل تعامل.,FMCG,Employer (Private Sector),Full Time Employee,"Buraidah, Saudi Arabia",Sales,Unspecified,Unspecified,Mid Career,Saudi Arabia,المؤهل التعليمي: ثانوية عامة / دبلوم.\nمهارة ممتازة في التعامل مع الآخرين.\nالقدرة على الاقناع والتفاوض.\nفهم متعمق للأعمال ومهارات البيع.\nالأفضلية للسعوديين,brf,Date Posted: Oct 17,"Buraidah, Saudi Arabia",مندوب مبيعات -قطاع الجملة _ بريدة | Sales Executive - Wholesale _ Buriadah,/en/saudi-arabia/jobs/%D9%85%D9%86%D8%AF%D9%88%D8%A8-%D9%85%D8%A8%D9%8A%D8%B9%D8%A7%D8%AA-%D9%82%D8%B7%D8%A7%D8%B9-%D8%A7%D9%84%D8%AC%D9%85%D9%84%D8%A9-_-%D8%A8%D8%B1%D9%8A%D8%AF%D8%A9-sales-executive-wholesale-_-buriadah-4422238/
137,ملخص الوظيفة\nخدمة العملاء المعينين في منطقة محددة.\nتحقيق الإنتاجية والاهداف.\nتسويق وبيع منتجات الشركة الى العملاء ثم تحصيل المقابل النقدي.\nالمهام والمسؤوليات الوظيفية\nالحفاظ على اتصال منتظم وبناء علاقة مع العملاء.\nتطوير أعمال جديدة من خلال قائمة العملاء المحتملين.\nالرد على إستفسارات وشكاوى العملاء.\nالمساعدة في تحديد أهداف المبيعات حسب المنتج والعميل.\nتقديم المشورة للعملاء بشأن الإعلان عن أسعار المنتجات والعروض.\nالتفاوض على مساحة الرفوف / والمكان المناسب لتسكين منصات (ستاندات) ترويج منتجات الشركة .\nتصفيف البضائع حسب الشكل المعتمد من الشركة.\nالاحتفاظ بسجلات دقيقة للنقد وأوامر المخزون والتسليم.\nتخطيط وتنفيذ دورة المبيعات اليومية وفقًا لـخط السير.\nتطبيق تقنيات البيع المهنية لتحقيق النتيجة.\nرعاية المركبات وأجهزة البيع الموردة للقيام بالمهمة.\nالمشاركة في التنمية الشخصية مع مدرب الفريق أو المشرف.\nتمثيل الشركة بأفضل تعامل.,FMCG; Consumer Packaged Goods Manufacture,Employer (Private Sector),Full Time Employee,"Riyadh, Saudi Arabia",Sales,Unspecified,Unspecified,Entry Level,"Riyadh, Saudi Arabia",المؤهل التعليمي: ثانوية عامة / دبلوم.\nمهارة ممتازة في التعامل مع الآخرين.\nالقدرة على الاقناع والتفاوض.\nفهم متعمق للأعمال ومهارات البيع.\nالأفضلية للسعوديين,brf,Date Posted: Oct 13,"Riyadh, Saudi Arabia",مندوب مبيعات -التجارة التقليدية (بقالات)| Sales Executive - Traditional Trade (Mini Markets),/en/saudi-arabia/jobs/%D9%85%D9%86%D8%AF%D9%88%D8%A8-%D9%85%D8%A8%D9%8A%D8%B9%D8%A7%D8%AA-%D8%A7%D9%84%D8%AA%D8%AC%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D8%AA%D9%82%D9%84%D9%8A%D8%AF%D9%8A%D8%A9-%D8%A8%D9%82%D8%A7%D9%84%D8%A7%D8%AA-sales-executive-traditional-trade-mini-markets-4439240/
138,ملخص الوظيفة\nخدمة العملاء المعينين في منطقة محددة.\nتحقيق الإنتاجية والاهداف.\nتسويق وبيع منتجات الشركة الى العملاء ثم تحصيل المقابل النقدي.\nالمهام والمسؤوليات الوظيفية\nالحفاظ على اتصال منتظم وبناء علاقة مع العملاء.\nتطوير أعمال جديدة من خلال قائمة العملاء المحتملين.\nالرد على إستفسارات وشكاوى العملاء.\nالمساعدة في تحديد أهداف المبيعات حسب المنتج والعميل.\nتقديم المشورة للعملاء بشأن الإعلان عن أسعار المنتجات والعروض.\nالتفاوض على مساحة الرفوف / والمكان المناسب لتسكين منصات (ستاندات) ترويج منتجات الشركة .\nتصفيف البضائع حسب الشكل المعتمد من الشركة.\nالاحتفاظ بسجلات دقيقة للنقد وأوامر المخزون والتسليم.\nتخطيط وتنفيذ دورة المبيعات اليومية وفقًا لـخط السير.\nتطبيق تقنيات البيع المهنية لتحقيق النتيجة.\nرعاية المركبات وأجهزة البيع الموردة للقيام بالمهمة.\nالمشاركة في التنمية الشخصية مع مدرب الفريق أو المشرف.\nتمثيل الشركة بأفضل تعامل.,FMCG,Employer (Private Sector),Full Time Employee,"Tabouk, Saudi Arabia",Sales,Unspecified,Unspecified,Entry Level,"Tabouk, Saudi Arabia",المؤهل التعليمي: ثانوية عامة / دبلوم.\nمهارة ممتازة في التعامل مع الآخرين.\nالقدرة على الاقناع والتفاوض.\nفهم متعمق للأعمال ومهارات البيع.\nالأفضلية للسعوديين,brf,Date Posted: Oct 19,"Tabouk, Saudi Arabia",مندوب مبيعات -التجارة التقليدية (بقالات)| Sales Executive - Traditional Trade (Mini Markets),/en/saudi-arabia/jobs/%D9%85%D9%86%D8%AF%D9%88%D8%A8-%D9%85%D8%A8%D9%8A%D8%B9%D8%A7%D8%AA-%D8%A7%D9%84%D8%AA%D8%AC%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D8%AA%D9%82%D9%84%D9%8A%D8%AF%D9%8A%D8%A9-%D8%A8%D9%82%D8%A7%D9%84%D8%A7%D8%AA-sales-executive-traditional-trade-mini-markets-4441732/
139,منسق موارد بشرية:\nفتح ملفات التأمينات الاجتماعية واستخراج الشهادات والإضافة والحذف والتعديل وكل ما يخص الحركات الشهرية\nإدخال جميع الحركات الشهرية من خصومات وعمل اضافي واجازات وبدلات وكشوفات سلف ومديونيات الموظفين وكل ما يتعلق بالرواتب الشهريه.\nمتابعة عقود الموظفين وتجديدها او انهاؤها في الوقت المناسب والموظفين تحت التجربة.\nالتنسيق مع شركات التأمين الطبي لمتابعة طلبات الإضافة والحذف والمطالبات وحل مشاكل الموظفين المتعلقة بالتأمين.\nعمل الخطابات (نهاية خدمه-انذارات-خطابات التصديق-خطابات تعريف بالراتب).\nرفع استقالات الموظفين وابلاغ قسم الرواتب حتى لا يتم الصرف .\nمراجعة ملفات الموظفين .\nرفع تقرير أسبوعى إلى مدير الموارد البشرية لبيان ما تم إنجازه و ما تم تأجيله مع بيان السبب.\nتنظيم و حفظ سجلات و نماذج إدارة الموارد البشرية و إدخال البيانات و مساعدة مدير الموارد البشرية فى مهامه حسب الطلب\nأخصائي موارد بشرية:\nيدرس ويطورالتنظيم الداخلي للشركة ويدرس تأثيره على مرونة وتنفيذ العمليات.\nتوزيع الادوار وتحديد المسميات الادارية لفريق العمل.\nيتولى مسئول الموارد البشرية مقابلة الموظف المستقيل ويقيم معه حوارا حول اسباب ترك العمل وما هي المشكلات التي تعيق استمراره بالعمل وسبل العلاج ويعد تقريراً خاصاً بكل حالة\nيعد على فترات تقريراً دورياً يناقش الاسباب التي تدفع إلى ترك العمل وكيفية علاجها\nيعد تقريره الدوري الذي يوضح مستويات الاداء بالشركة وسبل علاج مشكلة تدني مستويات الاداء\nيقوم بإرسال التنبيهات والإنذارات الخاصة بعدم الإلتزام بكمية الأعمال أو توقيتاتها الى غير الملتزمين ويسجل ذلك في سجل خاص\nيدرس الحلول التي تنشأ عن النقل والترقية.\nيعد ويوفر أدوات ونماذج العمل التي تتطلبها العمليات\nيتحاور مع العاملين يوصي بما يراه مطلوباً لجعل بيئة العمل داخل الشركة إيجابية داعمة\nتنظيم بيانات المرشحين مثل السير الذاتيه والمهام الوظيفيه وتفاصيل الإتصال في قواعد البيانات الداخليه.\nالمساعده في توظيف وتعيين الموظفين الجدد ومراجعة الملفات اللازمة.,"Catering, Food Service, & Restaurant",Unspecified,Full Time Employee,Saudi Arabia,Human Resources and Recruitment,Unspecified,Unspecified,Mid Career,Saudi Arabia,تحمل ضغط العمل .\nالعمل على التطوير والتغيير للأفضل .\nالمعرفه ببرامج مايكروسوفت اوفيس .,Confidential Company,Date Posted: Oct 24,Saudi Arabia,منسق و أخصائي موارد بشرية,/en/saudi-arabia/jobs/%D9%85%D9%86%D8%B3%D9%82-%D9%88-%D8%A3%D8%AE%D8%B5%D8%A7%D8%A6%D9%8A-%D9%85%D9%88%D8%A7%D8%B1%D8%AF-%D8%A8%D8%B4%D8%B1%D9%8A%D8%A9-4443599/
140,  إعداد وتنفيذ خطة المبيعات السنوية لقطاعي الجملة والتجزئة\nعمل توقع للمبيعات التي سيتم تحقيقها لقطاعي الجملة والتجزئة.\n اعتماد العروض المقدمة للعملاء بعد دراستها وتحليل ومقارنة العروض الخاصة بالمنافسين.\nدراسة وتحليل المبيعات السابقة للشركة.\nالمساهمة في المحافظة على سعر البيع بالاعتماد على ضمان وجود توازن بين العرض والطلب.\nإقامة وإدامة علاقات عمل جيدة مع عملاء الشركة من الأفراد والشركات والهيئات\nاستخدام الموارد المادية والبشرية لتحقيق اقصى نتائج ممكنة في ضوء الظروف البيئية المتاحة .\nالاشراف على الرقابة وتوجيه وتقييم وتنظيم قوة العمل البيعية لتنسيق الجهود لتحقيق الخطط الموضوعة .\nتطبيق وتنفيذ سياسة الشركة البيعية وعدم مخالفتها\nتنمية مهارات فريق المبيعات وعمل منافسه فيما بينهم وتحفيزهم على زيادة مبيعاتهم\nإجراء الدراسات الخاصة بمنح الائتمان للعملاء لجذب فئات جديدة من العملاء\nالمحافظة على تعزيز المجهود الجماعي من خلال التنسيق بين كافة اقسام المبيعات من أجل تحقيق أهداف المبيعات\nالقيام بأية مهام أخرى يوكلها إليه نائب الرئيس التنفيذي وتتعلق بطبيعة عمله ,Retail & Wholesale,Unspecified,Unspecified,"Riyadh, Saudi Arabia",Sales,Unspecified,Unspecified,Management,Saudi Arabia, القدرة على التخطيط والتنظيم والمتابعة للعمليات البيعية ولطاقم البيع.\nالقدرة على قيادة وتحفيز طاقم البيع.\nاحترام الاخرين وحسن الاستماع اليهم\n معرفة بالحاسب الالي وتطبيقاته\n اتقان اللغة العربية والانجليزية\nالقدرة على تقييم الاداء وتطويره .\nمهارات بالاتصال.\nبكلوريوس في الادارة أو تجارة /تسويق.\nخبرة عملية لا تقل عن 7 سنوات في مجال عمل مماثل منها 5 سنوات في مجال اشرافي.,Confidential Company,Date Posted: Nov 04,"Riyadh, Saudi Arabia",مدير المبيعات,/en/saudi-arabia/jobs/%D9%85%D8%AF%D9%8A%D8%B1-%D8%A7%D9%84%D9%85%D8%A8%D9%8A%D8%B9%D8%A7%D8%AA-4449576/
141,"المواقع المستهدفة ( جدة - الرياض - الدمام )\nتحقيق أهداف المبيعات قطع الغيار الشهرية المطلوبة.• الحفاظ على مستوى عالي في التعامل مع العملاء.\nالتعامل مع مبيعات قطع الغيار عبر الهاتف الهاتف لحسابات الجملة و / أو التجزئة.\nتعزيز المبيعات من خلال عرض اجزاء اضافية ومتعلقة بالقطع.\nإعلام العملاء عند استلام قطع الغيار المطلوبة.\nتنسيق عمليات الاستلام أو شحن أجزاء كما هو مطلوب.\nفهم أنظمة الشركة ،والشركة المصنعة الترقيم والخاصة بعمليات قطع الغيار.\nلتحديد أرقام جزء الصحيح لتطبيقات السيارة التي تحتاج إلى أجزاء.\nإعداد قطع الاقتباسات كما هو مطلوب من قبل ورشة عمل أو العملاء الخارجيين.\nالمساعدة في اختيار الأجزاء المطلوبة من قبل العميل في حالة غير متوفرة أو تشارك في أنشطة أخرى.\nإخطار مشرف المبيعات عند الحاجة إلى القوى العاملة الإضافية لتسهيل خدمة وتعزيز المبيعات .\nأداء المهام الأخرى التي يكلفها المسؤول المباشر.\nSell parts over the counter to wholesale and retail customers.\nConduct regular telephone solicitation on assigned wholesale accounts.\nHandle telephone parts orders for wholesale and/or retail accounts.\nPromote additional parts sales by suggesting related items, seasonal lines, and/ or parts specialists.\nClean, revise, and update parts displays as directed.• Inform customers when special orders are received.\nDetermine correct part numbers and “pick” parts for orders received.\nArrange for delivery or shipment of parts as required.\nUnderstand UMC/manufacturer’s numbering and superintendence systems and utilize efficiently to determine correct part numbers for the vehicle applications for which parts are needed.\nPrepare parts quotations as required by the workshop or external customers.\nAssist in picking the parts required by the customer in case the picker is not available or engaged in other activities.\nNotify the Sales supervisor when additional manpower is needed to facilitate prompt service for internal/external counters.\nPerform other tasks assigned by the direct manager.",Automotive Dealership & Distributor,Employer (Private Sector),Full Time Employee,"Jeddah , Saudi Arabia",Sales,"$1,500 - $2,000",5,Entry Level,Saudi Arabia,خبرة في مجال بيع قطع الغيار السيارات لا تقل عن سنة.\nيفضل ان يكون خريج معاهد تقنية او ذات علاقة بالسيارات.\nاللباقة وحسن المظهر و القدرة على الإقناع والتأثير على الآخرين.\nالقدرة على استخدام الحاسب الآلي.\nالالتزام بساعات العمل المحددة.\nإجادة اللغة الانجليزية \n•     Experience in parts sales automotive for at least one year.\n•     Graduate of technical institutes or equivalent.\n•     Appearance and the ability to persuade and influence others.\n•     Ability to use the computer.\n•     Commitment to specified hours of work.\n•     Good in English communication.,UNITED MOTORS COMPANY,Date Posted: Nov 07,"Jeddah , Saudi Arabia",Parts Sales Consultant - استشاري مبيعات قطع غيار,/en/saudi-arabia/jobs/parts-sales-consultant-%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D9%8A-%D9%85%D8%A8%D9%8A%D8%B9%D8%A7%D8%AA-%D9%82%D8%B7%D8%B9-%D8%BA%D9%8A%D8%A7%D8%B1-4450156/
142,تحرير سندات القبض للنقدية والشيكات المحصلة من العملاء\nارسال تقرير عن رصيد الصندوق يوميا للإدارة العامة.\nترحيل المصروفات إلى برنامج الاوريكال.\nالمطابقة اليومية ما بين تقرير المبيعات والمبالغ المحصلة من تلك المبيعات وارسال المستندات الى الإدارة (الفواتير –تصريح الخروج-طلبات الشراء- النقدية) على ان ترسل الأوراق والمستندات بدون تأخير وبشكل منظم جدا وكامل\nتحصيل وايداع جميع المبيعات في البنوك (إذا طلب ذلك).\nرفع تقارير حركة الصندوق من إيرادات ومصروفات يومية.\nتقديم تقرير المصاريف النثرية مع طلبات الصرف يوميا.\nاستلام النقدية والشيكات لإيداعها يوميا بحساب الشركة لدى البنوك طبقا لما يقضي به النظام المحاسبي.\nاستلام السلفة المستديمة والصرف منها طبقا للتعليمات.\nحفظ المستندات الخاصة بالتحصيل المصروفات في ملفات خاصة وبشكل منتظم وبصورة سليمة.\nمتابعة ومراجعة الفرع محاسبيا (الصندوق- اليومية- المصاريف-بيان المبالغ)\nمتابعة العملاء والمندوبين (المتأخرات – مطابقة العملاء)\nعمل تقارير شهرية لنسبة تحصيل المندوبين ومتابعة متأخرات الفرع.\nاصدار فواتير بطلبات العملاء والمرتجعات.\nاصدار كشوفات للعملاء.\nالاهتمام بمشتريات الفرع.\nعمل الخطابات الخاصة للإدارة العامة.\nأي عمل موكل اليه من قبل مديره لدعم احتياجات العمل. ,Retail & Wholesale,Employer (Private Sector),Full Time Employee,"Al Faysaliyah, Riyadh , Saudi Arabia",Accounting and Auditing,"$1,000 - $1,500",1,Entry Level,"Riyadh, Saudi Arabia",اللباقة وحسن التصرف.\nالحضور والانصراف.\nالنزاهة.\nالتعاون والعمل مع الفريق.\nالتقارير الدورية\nالعمل فترتين,AlSaggaff Trading Co.,Date Posted: Nov 07,"Al Faysaliyah, Riyadh, Saudi Arabia",محاسب امين صندوق,/en/saudi-arabia/jobs/%D9%85%D8%AD%D8%A7%D8%B3%D8%A8-%D8%A7%D9%85%D9%8A%D9%86-%D8%B5%D9%86%D8%AF%D9%88%D9%82-4450197/
143,تحرير سندات القبض للنقدية والشيكات المحصلة من العملاء\nارسال تقرير عن رصيد الصندوق يوميا للإدارة العامة.\nترحيل المصروفات إلى برنامج الاوريكال.\nالمطابقة اليومية ما بين تقرير المبيعات والمبالغ المحصلة من تلك المبيعات وارسال المستندات الى الإدارة (الفواتير –تصريح الخروج-طلبات الشراء- النقدية) على ان ترسل الأوراق والمستندات بدون تأخير وبشكل منظم جدا وكامل\nتحصيل وايداع جميع المبيعات في البنوك (إذا طلب ذلك).\nرفع تقارير حركة الصندوق من إيرادات ومصروفات يومية.\nتقديم تقرير المصاريف النثرية مع طلبات الصرف يوميا.\nاستلام النقدية والشيكات لإيداعها يوميا بحساب الشركة لدى البنوك طبقا لما يقضي به النظام المحاسبي.\nاستلام السلفة المستديمة والصرف منها طبقا للتعليمات.\nحفظ المستندات الخاصة بالتحصيل المصروفات في ملفات خاصة وبشكل منتظم وبصورة سليمة.\nمتابعة ومراجعة الفرع محاسبيا (الصندوق- اليومية- المصاريف-بيان المبالغ)\nمتابعة العملاء والمندوبين (المتأخرات – مطابقة العملاء)\nعمل تقارير شهرية لنسبة تحصيل المندوبين ومتابعة متأخرات الفرع.\nاصدار فواتير بطلبات العملاء والمرتجعات.\nاصدار كشوفات للعملاء.\nالاهتمام بمشتريات الفرع.\nعمل الخطابات الخاصة للإدارة العامة.\nأي عمل موكل اليه من قبل مديره لدعم احتياجات العمل.,Retail & Wholesale,Employer (Private Sector),Full Time Employee,"Al Faysaliyah, Riyadh , Saudi Arabia",Accounting and Auditing,"$1,500 - $2,000",1,Entry Level,"Riyadh, Saudi Arabia",اللباقة وحسن التصرف.\nالحضور والانصراف.\nالنزاهة.\nالتعاون والعمل مع الفريق.\nنظام الاوراكل\nبرنامج الاكسل\nالتقارير الدورية. \nالعمل فترتين,AlSaggaff Trading Co.,Date Posted: Nov 08,"Al Faysaliyah, Riyadh, Saudi Arabia",محاسب فرع,/en/saudi-arabia/jobs/%D9%85%D8%AD%D8%A7%D8%B3%D8%A8-%D9%81%D8%B1%D8%B9-4450694/
144,مطلوب موظف سعودي للعمل بقسم الموارد البشرية بقسم التوظيف\nلديه خبرة بعمل المقابلات وطرائق التوظيف\nخبرة في نفس المجال,Fashion & Apparel,Employer (Private Sector),Full Time Employee,"Buraidah, Saudi Arabia",Human Resources and Recruitment,Unspecified,1,Management,Saudi Arabia,التعامل مع الحاسب باحترافية وإتقان,شركة التويجري للمستلزمات الرجالية,Date Posted: Nov 17,"Buraidah, Saudi Arabia",مسؤول توظيف سعودي,/en/saudi-arabia/jobs/%D9%85%D8%B3%D8%A4%D9%88%D9%84-%D8%AA%D9%88%D8%B8%D9%8A%D9%81-%D8%B3%D8%B9%D9%88%D8%AF%D9%8A-4443494/
145,يقوم بجمع، وتحليل، وتخزين البيانات بأساليب عدة من المصادر الأولية والثانوية والحفاظ على قواعد البيانات وإزالة البيانات التالفة والتحليلات في مختلف المراحل (فحص جودة البيانات، إجراء تحليل لفهم وتفسير البيانات، تحليل إضافي للبيانات للتحقق منها)  وذلك بهدف الوصول إلى الشكل النهائي المطلوب من البيانات بهدف التحسين من عملية صنع القرار.,Agriculture & Crop Production,Employer (Private Sector),Full Time Employee,"Al Olaya, Riyadh , Saudi Arabia",Management,Unspecified,1,Mid Career,"Riyadh, Saudi Arabia",المهارات المطلوبة:-\n·         مهارة متقدمة في استخدام الحزم الإحصائية لتحليل مجموعة البيانات في برنامج Excel.\n·         النمذجة الإحصائية واهتمام قوي بالتفاصيل.\n·         تحليل البيانات بما يتوافق مع رؤية ورسالة الشركة وايضاً بما يتوافق مع المتطلبات التشغيلية.\n·         فن التعامل مع مختلف الشخصيات.\n·         العمل الجماعي للوصول للبيانات المطلوبة مع شرحها.\nدرجة البكالوريوس في تخصص ذي صلة ( الرياضيات والإحصاء، علم البيانات، الاقتصاد)\nخبرة لاتقل عن 5 سنوات في مجال تحليل البيانات وخاصة البيانات البيعية والتسويقية\nمهارة متقدمة في Excel / PowerPoint.,Al Takamul Group,Date Posted: Nov 14,"Al Olaya, Riyadh, Saudi Arabia",محلل بيانات,/en/saudi-arabia/jobs/%D9%85%D8%AD%D9%84%D9%84-%D8%A8%D9%8A%D8%A7%D9%86%D8%A7%D8%AA-4453435/
146,مطلوب موظفة سعودية إدارية خبرة سنتين و لها خبرة في التعامل مع برامج شؤون الموظفين و مواقع الجهات الحكومية,Construction & Building,Employer (Private Sector),Full Time Employee,"Az Zahra, Riyadh , Saudi Arabia",Administration,Unspecified,1,Entry Level,"Riyadh, Saudi Arabia",اجادة اللغة الإنكليزية\nخبرة في التعامل مع المواقع الحكومية\nخبرة في التعامل في برامج الاوفيس,Near East,Date Posted: Nov 16,"Az Zahra, Riyadh, Saudi Arabia",موظف اداري,/en/saudi-arabia/jobs/%D9%85%D9%88%D8%B8%D9%81-%D8%A7%D8%AF%D8%A7%D8%B1%D9%8A-4453785/
